keyword,normalized_keyword,occurrences,source_types
Bentley MicroStation,bentley microstation,1,candidate_base_resume
Bentley MicroStation Technician,bentley microstation technician,1,candidate_base_resume
BICSI Standards,bicsi standards,1,candidate_base_resume
Bill of Quantities (BOQ),bill of quantities (boq),1,candidate_base_resume
billing analyst,billing analyst,1,openjobs_definition
billing coordinator,billing coordinator,1,openjobs_definition
billing specialist,billing specialist,1,openjobs_definition
bim,bim,1,openjobs_definition
bim technician,bim technician,1,openjobs_definition
BIOS/Firmware,bios/firmware,1,candidate_base_resume
Bluebeam,bluebeam,1,candidate_base_resume
Bluebeam Revu,bluebeam revu,1,candidate_base_resume
Bluebeam Technician,bluebeam technician,1,candidate_base_resume
Blueprint Reading,blueprint reading,1,candidate_base_resume
bms design engineer,bms design engineer,1,openjobs_definition
Board Bring-Up,board bring-up,1,candidate_base_resume
BOM Generation,bom generation,1,candidate_base_resume
bookkeeper,bookkeeper,1,openjobs_definition
bookkeeping specialist,bookkeeping specialist,1,openjobs_definition
BOQ/BOM,boq/bom,1,candidate_base_resume
bore path,bore path,1,candidate_base_resume
Bore Path Design,bore path design,1,candidate_base_resume
bore path drawings,bore path drawings,1,candidate_base_resume
Bore Paths,bore paths,1,candidate_base_resume
BRAM,bram,1,candidate_base_resume
broadband,broadband,1,openjobs_definition
